library_size,aliquot_BC,shannon,evenness
1000,0.1495551603122743,5.9966196047201095,0.8957448675955408
1000,0.014154137985862892,6.102734517863,0.9115957794573293
1000,0.028312774448137155,6.033445157973305,0.9012456834713639
1000,0.10874336773891319,6.004490105423754,0.896920523394209
1000,0.015432199414414208,5.9934840402568295,0.8952764927510222
1000,0.2145654265940315,6.007308223951889,0.8973414797620043
1000,0.20922909705939272,6.0235836405157,0.8997726196067826
1000,0.1975021375978986,6.02843372733479,0.9004971011750603
1000,0.051732099721866716,6.049737532027179,0.9036793563406946
1500,0.18678182050496261,6.481284648419434,0.9129596372303691
1500,0.44124140505896325,6.4703245223833346,0.9114157839307988
1500,0.13152107643933725,6.531255001181414,0.9199985064676546
1500,0.08118327294867546,6.547025510188002,0.9222199546777874
1500,0.05579768379319212,6.512769334574866,0.9173945986940327
1500,0.18382564007084654,6.468971005867262,0.9112251263660519
1500,0.2280724159445545,6.537869432127931,0.9209302212132631
1500,0.07815421248454439,6.4759124832610135,0.9122029091710067
1500,0.2000087420641751,6.531631680904448,0.9200515659152716
5000,0.08148510377291808,7.836189832122623,0.9437207567082277
5000,0.2652327506186735,7.853618498356086,0.9458197096992381
5000,0.16675148514923974,7.8606532662123145,0.9466669143467483
5000,0.2836921382552085,7.863895469009388,0.9470573763113772
5000,0.06247596563485915,7.85496126969922,0.9459814210940838
5000,0.03917994261965715,7.8504350122032385,0.9454363190431286
5000,0.09761784117462372,7.8135077549349,0.940989129794397
5000,0.09769136489954224,7.867329770702795,0.9474992350826581
5000,0.26853541053453495,7.870049972016,0.9478268416199016
10000,0.09886670522930563,8.622534907998098,0.9584291591226641
10000,0.0875971669407839,8.626078384778205,0.95883623009511465
10000,0.16488109052398975,8.62394770905554,0.9585861975973052
10000,0.22094506053598995,8.631730841705116,0.9594909539629047
10000,0.0679501513590834,8.626092185322127,0.9588245646908425
10000,0.21150406369269767,8.616096362865559,0.9577398593684766
10000,0.056211705847519215,8.62876585096558,0.9591349567971764
10000,0.2977569121296455,8.613478739333726,0.9574357099514723
10000,0.14783253223950887,8.61160859631581,0.9572410124750319
